train_name,stop_key,stop_id,stop_name,parent_id,key,direction
L,L 1 Av,L06,1 Av,L06,L1 ,L06N
6,6 103 St,624,103 St,624,610,624N
1,1 103 St,119,103 St,119,110,119N
A,A 103 St,A18,103 St,A18,A10,A18N
7,7 103 St - Corona Plaza,706,103 St - Corona Plaza,706,710,706N
A,A 104 St,A63,104 St,A63,A10,A63N
J,J 104 St,J14,104 St,J14,J10,J14N
6,6 110 St,623,110 St,623,611,623N
7,7 111 St,705,111 St,705,711,705N
A,A 111 St,A64,111 St,A64,A11,A64N
J,J 111 St,J13,111 St,J13,J11,J13N
6,6 116 St,622,116 St,622,611,622N
2,2 116 St,226,116 St,226,211,226N
A,A 116 St,A16,116 St,A16,A11,A16N
1,1 116 St - Columbia University,117,116 St - Columbia University,117,111,117N
J,J 121 St,J12,121 St,J12,J12,J12N
6,6 125 St,621,125 St,621,612,621N
1,1 125 St,116,125 St,116,112,116N
2,2 125 St,225,125 St,225,212,225N
A,A 125 St,A15,125 St,A15,A12,A15N
2,2 135 St,224,135 St,224,213,224N
A,A 135 St,A14,135 St,A14,A13,A14N
1,1 137 St - City College,115,137 St - City College,115,113,115N
4,4 138 St - Grand Concourse,416,138 St - Grand Concourse,416,413,416N
1,1 14 St,132,14 St,132,114,132N
D,D 14 St,D19,14 St,D19,D14,D19N
A,A 14 St,A31,14 St,A31,A14,A31N
6,6 14 St - Union Sq,635,14 St - Union Sq,635,614,635N
R,R 14 St - Union Sq,R20,14 St - Union Sq,635,R14,R20N
D,D 145 St,D13,145 St,A12,D14,D13N
A,A 145 St,A12,145 St,A12,A14,A12N
1,1 145 St,114,145 St,114,114,114N
3,3 145 St,302,145 St,302,314,302N
4,4 149 St - Grand Concourse,415,149 St - Grand Concourse,222,414,415N
2,2 149 St - Grand Concourse,222,149 St - Grand Concourse,222,214,222N
F,F 15 St - Prospect Park,F25,15 St - Prospect Park,F25,F15,F25N
D,D 155 St,D12,155 St,D12,D15,D12N
A,A 155 St,A11,155 St,A11,A15,A11N
1,1 157 St,113,157 St,113,115,113N
4,4 161 St - Yankee Stadium,414,161 St - Yankee Stadium,414,416,414N
D,D 161 St - Yankee Stadium,D11,161 St - Yankee Stadium,414,D16,D11N
A,A 163 St - Amsterdam Av,A10,163 St - Amsterdam Av,A10,A16,A10N
4,4 167 St,413,167 St,413,416,413N
D,D 167 St,D10,167 St,D10,D16,D10N
A,A 168 St,A09,168 St,112,A16,A09N
1,1 168 St - Washington Hts,112,168 St - Washington Hts,112,116,112N
F,F 169 St,F02,169 St,F02,F16,F02N
D,D 170 St,D09,170 St,D09,D17,D09N
4,4 170 St,412,170 St,412,417,412N
2,2 174 St,215,174 St,215,217,215N
D,D 174-175 Sts,D08,174-175 Sts,D08,D17,D08N
A,A 175 St,A07,175 St,A07,A17,A07N
4,4 176 St,410,176 St,410,417,410N
N,N 18 Av,N05,18 Av,N05,N18,N05N
F,F 18 Av,F30,18 Av,F30,F18,F30N
B,B 18 Av,B19,18 Av,B19,B18,B19N
1,1 18 St,131,18 St,131,118,131N
A,A 181 St,A06,181 St,A06,A18,A06N
1,1 181 St,111,181 St,111,118,111N
D,D 182-183 Sts,D06,182-183 Sts,D06,D18,D06N
4,4 183 St,408,183 St,408,418,408N
A,A 190 St,A05,190 St,A05,A19,A05N
1,1 191 St,110,191 St,110,119,110N
F,F 2 Av,F14,2 Av,F14,F2 ,F14N
B,B 20 Av,B20,20 Av,B20,B20,B20N
N,N 20 Av,N06,20 Av,N06,N20,N06N
1,1 207 St,108,207 St,108,120,108N
G,G 21 St,G24,21 St,G24,G21,G24N
B,B 21 St - Queensbridge,B04,21 St - Queensbridge,B04,B21,B04N
1,1 215 St,107,215 St,107,121,107N
2,2 219 St,207,219 St,207,221,207N
2,2 225 St,206,225 St,206,222,206N
1,1 23 St,130,23 St,130,123,130N
A,A 23 St,A30,23 St,A30,A23,A30N
D,D 23 St,D18,23 St,D18,D23,D18N
6,6 23 St,634,23 St,634,623,634N
R,R 23 St,R19,23 St,R19,R23,R19N
1,1 231 St,104,231 St,104,123,104N
2,2 233 St,205,233 St,205,223,205N
1,1 238 St,103,238 St,103,123,103N
B,B 25 Av,B22,25 Av,B22,B25,B22N
R,R 25 St,R35,25 St,R35,R25,R35N
1,1 28 St,129,28 St,129,128,129N
6,6 28 St,633,28 St,633,628,633N
R,R 28 St,R18,28 St,R18,R28,R18N
